BirdID,ID,X_Coordinate,Y_Coordinate,Iterations
RED,RED_89,-76.15051497,45.25683412,1
RED,RED_9,-76.14821687,45.25796708,2
SANTA,SANTA_0,-76.15173025,45.26287897,1
SANTA,SANTA_109,-76.15205356,45.26294894,1
SANTA,SANTA_119,-76.15196382,45.26286739,1
SANTA,SANTA_173,-76.15203877,45.26217485,1
SANTA,SANTA_179,-76.15100165,45.26122362,1
SANTA,SANTA_191,-76.15093464,45.26189476,11
SANTA,SANTA_200,-76.15198966,45.26202129,6
SANTA,SANTA_207,-76.15249137,45.26246842,1
SANTA,SANTA_23,-76.15210659,45.26337802,1
SANTA,SANTA_240,-76.15167471,45.26193854,1
SANTA,SANTA_277,-76.15268974,45.26347782,1
SANTA,SANTA_292,-76.15231536,45.26280066,1
SANTA,SANTA_315,-76.15219796,45.26282353,1
SANTA,SANTA_331,-76.15432174,45.26192672,1
SANTA,SANTA_34,-76.15254205,45.26269007,1
SANTA,SANTA_365,-76.15245924,45.26287371,1
SANTA,SANTA_368,-76.152761,45.26256836,1
SANTA,SANTA_386,-76.15219443,45.26244385,1
SANTA,SANTA_388,-76.15185442,45.26247341,1
SANTA,SANTA_47,-76.15193486,45.26319627,1
SANTA,SANTA_58,-76.1519888,45.26299505,1
SANTA,SANTA_74,-76.15244448,45.26233169,1
SANTA,SANTA_91,-76.15223171,45.26292345,1
SHARK,SHARK_150,-76.22778617,45.29040836,1
SHARK,SHARK_195,-76.22802768,45.29040442,1
SHARK,SHARK_211,-76.22706281,45.29002359,1
SHARK,SHARK_353,-76.22805648,45.29030729,1
SHARK,SHARK_375,-76.22659166,45.29084975,1
SHARK,SHARK_395,-76.22713314,45.29051119,1
SHARK,SHARK_97,-76.22716091,45.29057357,1
SMURF,SMURF_123,-76.22752111,45.29021782,1
SMURF,SMURF_149,-76.22855031,45.28963418,1
SMURF,SMURF_188,-76.22818382,45.28948335,4
SMURF,SMURF_237,-76.22841998,45.29006629,1
SMURF,SMURF_262,-76.22781232,45.28996889,1
SMURF,SMURF_289,-76.22886454,45.28975033,1
SMURF,SMURF_296,-76.22824474,45.28956473,1
SMURF,SMURF_360,-76.2281133,45.29141067,3
SMURF,SMURF_361,-76.22866126,45.28982412,1
SMURF,SMURF_374,-76.22879226,45.2904093,1
SMURF,SMURF_380,-76.22839224,45.28965662,1
SMURF,SMURF_396,-76.22774916,45.2901003,1
SMURF,SMURF_399,-76.22895302,45.28978533,1
SMURF,SMURF_400,-76.22803328,45.28987421,1
SMURF,SMURF_96,-76.22803683,45.29032896,1
TIGER,TIGER_10,-76.15216309,45.25948173,1
TIGER,TIGER_101,-76.15218601,45.25869076,1
TIGER,TIGER_118,-76.15213604,45.25953247,1
TIGER,TIGER_140,-76.15262739,45.26014069,1
TIGER,TIGER_172,-76.150965,45.25960891,1
TIGER,TIGER_178,-76.15010775,45.25886676,2
TIGER,TIGER_190,-76.15005978,45.25931335,3
TIGER,TIGER_276,-76.1508411,45.25897562,1
TIGER,TIGER_282,-76.15095297,45.25902296,1
TIGER,TIGER_291,-76.15025519,45.25940907,1
TIGER,TIGER_311,-76.15013605,45.25897543,1
TIGER,TIGER_335,-76.15135079,45.25932514,1
TIGER,TIGER_350,-76.15263981,45.25837403,1
TIGER,TIGER_364,-76.15232184,45.25857629,1
TIGER,TIGER_367,-76.15236556,45.2587752,1
TIGER,TIGER_383,-76.1530094,45.25932815,1
TIGER,TIGER_387,-76.14846352,45.26003304,1
TIGER,TIGER_391,-76.15304443,45.25905133,2
TIGER,TIGER_46,-76.15217633,45.25947304,1
TIGER,TIGER_57,-76.15378186,45.2598032,1
TIGER,TIGER_6_4a,-76.15240492,45.25897473,1
TIGER,TIGER_6_4b,-76.15210723,45.2589566,1
TIGER,TIGER_6_5,-76.15206061,45.25972213,1
TIGER,TIGER_61,-76.15225073,45.25950261,1
TIGER,TIGER_73,-76.15229687,45.25868088,1
TIGER,TIGER_94,-76.15224513,45.25976995,1
