contlabel,BirdID,TagID,Visual,Triangulation,Home Range
82,FURY,Black/Red,44756.6911602793,22281.0479530869,43893.3761794036
81,FURY,Black/Red,43579.9719018219,22011.1646694411,43788.7432257752
80,FURY,Black/Red,42499.2227615938,21819.4687490426,43684.1792180166
79,FURY,Black/Red,41485.6309625702,21628.0041957592,43580.0041598091
78,FURY,Black/Red,40523.7685149658,21443.738869675,42120.2704738546
77,FURY,Black/Red,39603.7997138181,21265.2126737437,39799.6096369103
76,FURY,Black/Red,38722.0604349128,21088.5647333255,37630.7564782817
75,FURY,Black/Red,37877.652259551,20914.4373166442,35590.360610289
74,FURY,Black/Red,37066.4565231036,20746.2521505952,33647.325134458
73,FURY,Black/Red,36282.0940212151,20581.3747012429,31787.1313881846
72,FURY,Black/Red,35525.1748781174,20422.1924549924,29992.8688835301
71,FURY,Black/Red,33836.9758356367,20264.7372979775,28693.2731369913
70,FURY,Black/Red,31141.5586611771,20108.8010833157,28000.5233022263
69,FURY,Black/Red,28738.3466025479,19954.2870597774,27312.1372624151
68,FURY,Black/Red,26565.2587387068,19800.2270104664,26626.3329828591
67,FURY,Black/Red,24579.1767655201,19644.3235104419,25940.1173933554
66,FURY,Black/Red,22746.2304153228,17475.730739634,25251.5115877893
65,FURY,Black/Red,21041.0883615408,15090.3286321799,24555.2351516542
64,FURY,Black/Red,19445.1191085624,13277.4215682303,23689.8365976386
63,FURY,Black/Red,17944.3362102443,11774.4448868295,22643.3008795879
62,FURY,Black/Red,16526.3498171568,10474.3857122953,21862.0560830999
61,FURY,Black/Red,15181.2301071309,9321.53437936213,21174.9269096255
60,FURY,Black/Red,13902.153224187,8280.16147624794,20541.821286615
59,FURY,Black/Red,12680.9819205595,7331.64402542636,19947.7683668118
58,FURY,Black/Red,11514.3434013436,6457.24633400608,19386.593326672
57,FURY,Black/Red,10478.9596346272,5645.8686919054,18629.1912952311
56,FURY,Black/Red,9970.86904563336,4888.71927258931,16730.127301313
55,FURY,Black/Red,9472.09439698397,4178.78256473114,15061.7650086258
54,FURY,Black/Red,8981.98058796255,3510.24493185501,13565.9624128467
53,FURY,Black/Red,8501.49029676709,2877.88705347478,12207.946085074
52,FURY,Black/Red,8028.09255730733,2278.21808460634,10963.3097316138
51,FURY,Black/Red,7563.21362344269,1706.61721002008,9814.98913772916
50,FURY,Black/Red,7106.53337716591,1162.0217408333,8748.28093675058
49,FURY,Black/Red,6656.23190504359,1159.59695578273,7527.3414134318
48,FURY,Black/Red,6214.60954649281,1157.17514602887,6399.24295649678
47,FURY,Black/Red,5778.30492108827,1154.7563115675,5350.19658928458
46,FURY,Black/Red,5349.37955969665,1152.34045239724,4371.41612581909
45,FURY,Black/Red,4928.04249535967,1149.92756856931,3452.81886814022
44,FURY,Black/Red,4510.97161036264,1147.51765999105,2587.36510115815
43,FURY,Black/Red,4101.6187425158,1145.11072673881,1769.90965383593
42,FURY,Black/Red,3986.12328627333,1142.706768787,1616.77226247685
41,FURY,Black/Red,3919.02911050245,1140.29635537695,1569.70095436089
40,FURY,Black/Red,3851.71747009829,1137.88701277785,1522.51384183113
39,FURY,Black/Red,3784.18887980282,1135.47258755099,1474.94665113091
38,FURY,Black/Red,3716.39479910675,1133.06002020789,1427.0508074048
37,FURY,Black/Red,3648.83856386319,1130.64949819678,1379.44325578678
36,FURY,Black/Red,3581.67024570517,1128.23007844063,1332.05260754097
35,FURY,Black/Red,3515.02690461849,1125.81360836886,1269.79260542849
34,FURY,Black/Red,3448.96876587602,1123.40008820081,1202.08691974264
33,FURY,Black/Red,3383.08536586724,1101.24532460934,1134.62815068383
32,FURY,Black/Red,3317.39053256717,1037.74700535953,1067.93885495933
31,FURY,Black/Red,3251.38240507897,973.630564541847,1000.80062806653
30,FURY,Black/Red,3185.41872336715,910.774620395619,933.094107449986
29,FURY,Black/Red,3119.95734735683,848.155930883251,865.586615729146
28,FURY,Black/Red,3083.6385890739,787.184934191406,814.744277489372
27,FURY,Black/Red,3068.92465844331,726.177136648796,776.702818125486
26,FURY,Black/Red,3054.19624556368,664.822012898716,738.866219526157
25,FURY,Black/Red,3039.46869158931,604.669114169315,701.141468209215
24,FURY,Black/Red,3024.77279000217,543.76630459493,663.197379625402
23,FURY,Black/Red,3010.11713417107,483.409117231378,625.37852823548
22,FURY,Black/Red,2995.47487105057,424.270812671282,586.596420749789
21,FURY,Black/Red,2980.81816945132,367.781875210821,553.729825293412
20,FURY,Black/Red,2966.10989132244,308.890217805747,529.406480919104
19,FURY,Black/Red,2951.39339940716,255.125237761764,504.933466933668
18,FURY,Black/Red,2936.72207593732,202.980966848263,480.408026849385
17,FURY,Black/Red,2922.00486488268,141.369322044309,456.316772166407
16,FURY,Black/Red,2907.28841768601,119.534263678361,432.292220972944
15,FURY,Black/Red,2892.58320489479,113.566299071768,408.72629577521
14,FURY,Black/Red,2835.60221907729,107.517818105407,389.255708138691
13,FURY,Black/Red,2672.28375473525,101.51272203587,379.491329194978
12,FURY,Black/Red,2511.22843435872,95.6131509551778,369.72033830313
11,FURY,Black/Red,2353.26136768004,89.8191048777662,359.942735441495
10,FURY,Black/Red,2194.48497023666,83.6531333717285,350.158520581201
9,FURY,Black/Red,2035.75329330191,77.0511924439343,340.126007153653
8,FURY,Black/Red,1878.29678764939,70.2484945915639,330.061842474155
7,FURY,Black/Red,1721.83044891432,56.2416672034742,320.374276448041
6,FURY,Black/Red,1568.36171920411,50.4308401774615,315.093459351527
5,FURY,Black/Red,1412.83140187478,42.0629616552033,309.851313038496
4,FURY,Black/Red,1258.20511417725,33.8982372609898,304.638646482839
3,FURY,Black/Red,1106.3117796937,28.9923610906117,299.415313682053
2,FURY,Black/Red,955.373187728226,24.0239712409675,294.18131461984
1,FURY,Black/Red,802.187782267109,18.7051564569119,288.936649257084
99,GREY,Grey/Grey,15567.2375565688,21726.1107606252,23692.1870395408
